slope_deg,ndvi,rainfall_mm,dist_road_m,dist_stream_m,soil_clay_pct,risk_score,risk_class
19.75328,0.4248706,290.47888,30.0,1110.4053,35.086544,0.32460332,Medium
17.406488,0.41846925,290.18576,42.426407,1080.4166,35.085876,0.31291053,Medium
10.476606,0.4488025,289.89258,67.08204,1050.4285,35.08521,0.26473704,Medium
7.7416067,0.47682938,289.59943,94.86833,1020.4411,35.084538,0.23965012,Low
1.1987807,0.52282536,289.30627,123.69317,990.45447,35.08387,0.18869087,Low
3.552476,0.5177178,289.01318,150.0,960.4686,35.083202,0.20185764,Low
8.981118,0.49805,288.72003,174.92856,930.48376,35.08253,0.23612979,Low
14.307186,0.5299769,288.42688,201.24612,900.4999,35.081863,0.2521025,Medium
13.814027,0.5193884,288.1338,228.47319,870.5171,35.081196,0.25238985,Medium
13.8847685,0.53163606,287.84067,210.0,840.5355,35.08053,0.24784443,Low
18.940289,0.5304715,287.54755,180.0,810.55536,35.079857,0.27396607,Medium
20.942307,0.4773837,287.25443,150.0,780.5767,35.07919,0.30208865,Medium
18.14578,0.47150433,286.9613,120.0,750.59973,35.07852,0.2889619,Medium
16.606108,0.47572955,286.66818,90.0,720.62476,35.077854,0.27901736,Medium
15.225389,0.47690117,286.37512,60.0,690.65186,35.077183,0.27122372,Medium
11.849328,0.4633255,286.082,30.0,660.68146,35.076515,0.2591527,Medium
13.448714,0.44171163,285.7889,0.0,630.71387,35.075848,0.37113193,Medium
15.237519,0.44659564,285.49582,0.0,600.7495,35.07518,0.37805346,Medium
13.493838,0.4463143,285.20276,0.0,570.78894,35.07451,0.36832926,Medium
14.614381,0.44919202,284.90967,0.0,540.8327,35.07384,0.3724585,Medium
16.540321,0.46033496,284.61658,30.0,510.8816,35.073174,0.28102857,Medium
14.97767,0.48160413,284.32352,30.0,480.93658,35.072506,0.2648245,Medium
10.039134,0.4454077,284.03043,42.426407,450.9989,35.071835,0.24989568,Low
8.683982,0.36255193,283.73737,42.426407,421.07007,35.071167,0.27066985,Medium
11.246655,0.38084653,283.4443,30.0,391.15213,35.0705,0.2779424,Medium
12.885319,0.38519788,283.15125,30.0,361.24783,35.06983,0.28428015,Medium
12.298313,0.385865,282.8582,30.0,331.36084,35.06916,0.2802822,Medium
9.495623,0.36454308,282.56516,0.0,301.49628,35.068493,0.3692245,Medium
6.5245748,0.37877357,282.2721,0.0,271.66156,35.067825,0.3481285,Medium
7.931665,0.45985937,281.97906,30.0,241.86774,35.067154,0.22992401,Low
10.40202,0.51324123,281.68604,42.426407,212.13203,35.066486,0.22281905,Low
8.980562,0.5397739,281.39297,67.08204,182.48288,35.06582,0.20477846,Low
9.431877,0.48818806,281.09995,94.86833,152.97058,35.06515,0.22387773,Low
9.559349,0.48055282,280.80695,108.16654,123.69317,35.06448,0.22649477,Low
6.760501,0.4723846,280.51392,84.85281,94.86833,35.063812,0.21451306,Low
3.726712,0.3875832,280.2209,60.0,67.08204,35.063145,0.22816873,Low
3.33367,0.34318784,279.9279,30.0,42.426407,35.062477,0.24327554,Low
3.248631,0.29181018,279.6349,0.0,30.0,35.061806,0.35782695,Medium
1.9350504,0.17895323,279.3419,0.0,0.0,35.06114,0.505298,High
3.8127306,0.35828823,279.04886,30.0,30.0,35.06047,0.23947076,Low
5.8532476,0.28973404,278.75586,30.0,30.0,35.059803,0.2730101,Medium
6.697493,0.24899074,278.46286,0.0,42.426407,35.05913,0.38652757,Medium
6.0275974,0.2768776,278.1699,30.0,67.08204,35.058464,0.27477127,Medium
2.981875,0.33091578,277.8769,42.426407,84.85281,35.057796,0.23823155,Low
0.8873335,0.37657323,277.58392,67.08204,90.0,35.05713,0.20991771,Low
1.5393144,0.3874676,277.29092,90.0,60.0,35.056458,0.20910619,Low
3.2402182,0.46295214,276.99796,60.0,30.0,35.05579,0.19366966,Low
3.3315597,0.43265346,276.70502,30.0,0.0,35.055122,0.32160082,Medium
